净值日期,单位净值,日增长率,累计净值
2023-06-05,1.205,0.0,1.205
2023-06-06,1.205,0.0,1.205
2023-06-07,1.206,0.08,1.206
2023-06-08,1.206,0.0,1.206
2023-06-09,1.206,0.0,1.206
2023-06-12,1.206,0.0,1.206
2023-06-13,1.207,0.08,1.207
2023-06-14,1.207,0.0,1.207
2023-06-15,1.207,0.0,1.207
2023-06-16,1.206,-0.08,1.206
2023-06-19,1.205,-0.08,1.205
2023-06-20,1.205,0.0,1.205
2023-06-21,1.206,0.08,1.206
2023-06-26,1.206,0.0,1.206
2023-06-27,1.205,-0.08,1.205
2023-06-28,1.205,0.0,1.205
2023-06-29,1.206,0.08,1.206
2023-06-30,1.207,0.08,1.207
2023-07-03,1.207,0.0,1.207
2023-07-04,1.208,0.08,1.208
2023-07-05,1.208,0.0,1.208
2023-07-06,1.209,0.08,1.209
2023-07-07,1.209,0.0,1.209
2023-07-10,1.21,0.08,1.21
2023-07-11,1.21,0.0,1.21
2023-07-12,1.21,0.0,1.21
2023-07-13,1.21,0.0,1.21
2023-07-14,1.21,0.0,1.21
2023-07-17,1.21,0.0,1.21
2023-07-18,1.211,0.08,1.211
2023-07-19,1.212,0.08,1.212
2023-07-20,1.212,0.0,1.212
2023-07-21,1.213,0.08,1.213
2023-07-24,1.213,0.0,1.213
2023-07-25,1.211,-0.16,1.211
2023-07-26,1.211,0.0,1.211
2023-07-27,1.212,0.08,1.212
2023-07-28,1.211,-0.08,1.211
2023-07-31,1.211,0.0,1.211
2023-08-01,1.211,0.0,1.211
2023-08-02,1.212,0.08,1.212
2023-08-03,1.212,0.0,1.212
2023-08-04,1.213,0.08,1.213
2023-08-07,1.214,0.08,1.214
2023-08-08,1.214,0.0,1.214
2023-08-09,1.215,0.08,1.215
2023-08-10,1.215,0.0,1.215
2023-08-11,1.216,0.08,1.216
2023-08-14,1.217,0.08,1.217
2023-08-15,1.218,0.08,1.218
2023-08-16,1.218,0.0,1.218
2023-08-17,1.219,0.08,1.219
2023-08-18,1.219,0.0,1.219
2023-08-21,1.22,0.08,1.22
2023-08-22,1.22,0.0,1.22
2023-08-23,1.221,0.08,1.221
2023-08-24,1.221,0.0,1.221
2023-08-25,1.221,0.0,1.221
2023-08-28,1.22,-0.08,1.22
2023-08-29,1.22,0.0,1.22
2023-08-30,1.22,0.0,1.22
2023-08-31,1.22,0.0,1.22
2023-09-01,1.22,0.0,1.22
2023-09-04,1.219,-0.08,1.219
2023-09-05,1.219,0.0,1.219
2023-09-06,1.218,-0.08,1.218
2023-09-07,1.216,-0.16,1.216
2023-09-08,1.215,-0.08,1.215
2023-09-11,1.213,-0.16,1.213
2023-09-12,1.214,0.08,1.214
2023-09-13,1.215,0.08,1.215
2023-09-14,1.216,0.08,1.216
2023-09-15,1.216,0.0,1.216
2023-09-18,1.215,-0.08,1.215
2023-09-19,1.215,0.0,1.215
2023-09-20,1.215,0.0,1.215
2023-09-21,1.216,0.08,1.216
2023-09-22,1.216,0.0,1.216
2023-09-25,1.216,0.0,1.216
2023-09-26,1.216,0.0,1.216
2023-09-27,1.216,0.0,1.216
2023-09-28,1.217,0.08,1.217
2023-10-09,1.219,0.16,1.219
2023-10-10,1.218,-0.08,1.218
2023-10-11,1.218,0.0,1.218
2023-10-12,1.218,0.0,1.218
2023-10-13,1.218,0.0,1.218
2023-10-16,1.219,0.08,1.219
2023-10-17,1.219,0.0,1.219
2023-10-18,1.218,-0.08,1.218
2023-10-19,1.217,-0.08,1.217
2023-10-20,1.217,0.0,1.217
2023-10-23,1.218,0.08,1.218
2023-10-24,1.217,-0.08,1.217
2023-10-25,1.218,0.08,1.218
2023-10-26,1.219,0.08,1.219
2023-10-27,1.219,0.0,1.219
2023-10-30,1.22,0.08,1.22
2023-10-31,1.22,0.0,1.22
2023-11-01,1.221,0.08,1.221
2023-11-02,1.222,0.08,1.222
2023-11-03,1.222,0.0,1.222
2023-11-06,1.223,0.08,1.223
2023-11-07,1.224,0.08,1.224
2023-11-08,1.224,0.0,1.224
2023-11-09,1.224,0.0,1.224
2023-11-10,1.225,0.08,1.225
2023-11-13,1.226,0.08,1.226
2023-11-14,1.226,0.0,1.226
2023-11-15,1.227,0.08,1.227
2023-11-16,1.228,0.08,1.228
2023-11-17,1.23,0.16,1.23
2023-11-20,1.231,0.08,1.231
2023-11-21,1.231,0.0,1.231
2023-11-22,1.232,0.08,1.232
2023-11-23,1.231,-0.08,1.231
2023-11-24,1.232,0.08,1.232
