净值日期,单位净值,日增长率,累计净值
2023-06-05,2.8347,-1.61,2.8347
2023-06-06,2.8074,-0.96,2.8074
2023-06-07,2.7587,-1.73,2.7587
2023-06-08,2.7541,-0.17,2.7541
2023-06-09,2.78,0.94,2.78
2023-06-12,2.7836,0.13,2.7836
2023-06-13,2.7838,0.01,2.7838
2023-06-14,2.7687,-0.54,2.7687
2023-06-15,2.8843,4.18,2.8843
2023-06-16,2.9121,0.96,2.9121
2023-06-19,2.8881,-0.82,2.8881
2023-06-20,2.893,0.17,2.893
2023-06-21,2.8531,-1.38,2.8531
2023-06-26,2.8584,0.19,2.8584
2023-06-27,2.8566,-0.06,2.8566
2023-06-28,2.8706,0.49,2.8706
2023-06-29,2.8568,-0.48,2.8568
2023-06-30,2.9076,1.78,2.9076
2023-07-03,2.9407,1.14,2.9407
2023-07-04,2.9487,0.27,2.9487
2023-07-05,2.9228,-0.88,2.9228
2023-07-06,2.8992,-0.81,2.8992
2023-07-07,2.868,-1.08,2.868
2023-07-10,2.9118,1.53,2.9118
2023-07-11,2.931,0.66,2.931
2023-07-12,2.9104,-0.7,2.9104
2023-07-13,2.9261,0.54,2.9261
2023-07-14,2.8909,-1.2,2.8909
2023-07-17,2.8552,-1.23,2.8552
2023-07-18,2.8494,-0.2,2.8494
2023-07-19,2.8221,-0.96,2.8221
2023-07-20,2.8142,-0.28,2.8142
2023-07-21,2.8023,-0.42,2.8023
2023-07-24,2.7718,-1.09,2.7718
2023-07-25,2.8337,2.23,2.8337
2023-07-26,2.8318,-0.07,2.8318
2023-07-27,2.8257,-0.22,2.8257
2023-07-28,2.8451,0.69,2.8451
2023-07-31,2.8858,1.43,2.8858
2023-08-01,2.8723,-0.47,2.8723
2023-08-02,2.867,-0.18,2.867
2023-08-03,2.8829,0.55,2.8829
2023-08-04,2.8996,0.58,2.8996
2023-08-07,2.8871,-0.43,2.8871
2023-08-08,2.8772,-0.34,2.8772
2023-08-09,2.8688,-0.29,2.8688
2023-08-10,2.8836,0.52,2.8836
2023-08-11,2.8298,-1.87,2.8298
2023-08-14,2.789,-1.44,2.789
2023-08-15,2.7594,-1.06,2.7594
2023-08-16,2.7356,-0.86,2.7356
2023-08-17,2.7521,0.6,2.7521
2023-08-18,2.7212,-1.12,2.7212
2023-08-21,2.6692,-1.91,2.6692
2023-08-22,2.6552,-0.52,2.6552
2023-08-23,2.5909,-2.42,2.5909
2023-08-24,2.6152,0.94,2.6152
2023-08-25,2.5888,-1.01,2.5888
2023-08-28,2.5917,0.11,2.5917
2023-08-29,2.6511,2.29,2.6511
2023-08-30,2.6516,0.02,2.6516
