净值日期,单位净值,日增长率,累计净值
2023-06-05,1.8012,-0.43,1.8012
2023-06-06,1.7843,-0.94,1.7843
2023-06-07,1.7852,0.05,1.7852
2023-06-08,1.8037,1.04,1.8037
2023-06-09,1.8146,0.6,1.8146
2023-06-12,1.8208,0.34,1.8208
2023-06-13,1.825,0.23,1.825
2023-06-14,1.8266,0.09,1.8266
2023-06-15,1.8402,0.74,1.8402
2023-06-16,1.862,1.18,1.862
2023-06-19,1.866,0.21,1.866
2023-06-20,1.8682,0.12,1.8682
2023-06-21,1.8489,-1.03,1.8489
2023-06-26,1.8284,-1.11,1.8284
2023-06-27,1.8507,1.22,1.8507
2023-06-28,1.8396,-0.6,1.8396
2023-06-29,1.8427,0.17,1.8427
2023-06-30,1.8516,0.48,1.8516
2023-07-03,1.8733,1.17,1.8733
2023-07-04,1.8763,0.16,1.8763
2023-07-05,1.8547,-1.15,1.8547
2023-07-06,1.8592,0.24,1.8592
2023-07-07,1.8579,-0.07,1.8579
2023-07-10,1.8625,0.25,1.8625
2023-07-11,1.8703,0.42,1.8703
2023-07-12,1.8565,-0.74,1.8565
2023-07-13,1.8727,0.87,1.8727
2023-07-14,1.8734,0.04,1.8734
2023-07-17,1.8754,0.11,1.8754
2023-07-18,1.8695,-0.31,1.8695
2023-07-19,1.8677,-0.1,1.8677
2023-07-20,1.8532,-0.78,1.8532
2023-07-21,1.8574,0.23,1.8574
2023-07-24,1.8565,-0.05,1.8565
2023-07-25,1.8752,1.01,1.8752
2023-07-26,1.8699,-0.28,1.8699
2023-07-27,1.872,0.11,1.872
2023-07-28,1.8867,0.79,1.8867
2023-07-31,1.9012,0.77,1.9012
2023-08-01,1.8885,-0.67,1.8885
2023-08-02,1.876,-0.66,1.876
2023-08-03,1.8781,0.11,1.8781
2023-08-04,1.883,0.26,1.883
2023-08-07,1.8773,-0.3,1.8773
2023-08-08,1.869,-0.44,1.869
2023-08-09,1.8534,-0.83,1.8534
2023-08-10,1.8672,0.74,1.8672
2023-08-11,1.8372,-1.61,1.8372
2023-08-14,1.8396,0.13,1.8396
2023-08-15,1.8279,-0.64,1.8279
2023-08-16,1.8115,-0.9,1.8115
2023-08-17,1.8175,0.33,1.8175
2023-08-18,1.7953,-1.22,1.7953
2023-08-21,1.7766,-1.04,1.7766
2023-08-22,1.7899,0.75,1.7899
2023-08-23,1.7623,-1.54,1.7623
2023-08-24,1.7777,0.87,1.7777
2023-08-25,1.7621,-0.88,1.7621
2023-08-28,1.7642,0.12,1.7642
2023-08-29,1.7879,1.34,1.7879
2023-08-30,1.7881,0.01,1.7881
2023-08-31,1.7817,-0.36,1.7817
2023-09-01,1.789,0.41,1.789
2023-09-04,1.7994,0.58,1.7994
2023-09-05,1.7888,-0.59,1.7888
2023-09-06,1.78,-0.49,1.78
2023-09-07,1.7604,-1.1,1.7604
2023-09-08,1.7607,0.02,1.7607
2023-09-11,1.7781,0.99,1.7781
2023-09-12,1.7788,0.04,1.7788
2023-09-13,1.7601,-1.05,1.7601
2023-09-14,1.7513,-0.5,1.7513
2023-09-15,1.7428,-0.49,1.7428
2023-09-18,1.7519,0.52,1.7519
2023-09-19,1.7461,-0.33,1.7461
2023-09-20,1.7401,-0.34,1.7401
2023-09-21,1.731,-0.52,1.731
2023-09-22,1.7565,1.47,1.7565
2023-09-25,1.7446,-0.68,1.7446
2023-09-26,1.743,-0.09,1.743
2023-09-27,1.7414,-0.09,1.7414
2023-09-28,1.7337,-0.44,1.7337
2023-10-09,1.718,-0.91,1.718
2023-10-10,1.7084,-0.56,1.7084
2023-10-11,1.7041,-0.25,1.7041
2023-10-12,1.7103,0.36,1.7103
2023-10-13,1.6948,-0.91,1.6948
2023-10-16,1.6849,-0.58,1.6849
2023-10-17,1.6822,-0.16,1.6822
2023-10-18,1.6619,-1.21,1.6619
2023-10-19,1.631,-1.86,1.631
2023-10-20,1.6158,-0.93,1.6158
2023-10-23,1.5963,-1.21,1.5963
2023-10-24,1.6078,0.72,1.6078
2023-10-25,1.6259,1.13,1.6259
2023-10-26,1.636,0.62,1.636
2023-10-27,1.6635,1.68,1.6635
2023-10-30,1.6853,1.31,1.6853
2023-10-31,1.6762,-0.54,1.6762
2023-11-01,1.6708,-0.32,1.6708
2023-11-02,1.6597,-0.66,1.6597
2023-11-03,1.6745,0.89,1.6745
2023-11-06,1.6843,0.59,1.6843
2023-11-07,1.6824,-0.11,1.6824
2023-11-08,1.6766,-0.34,1.6766
2023-11-09,1.6779,0.08,1.6779
2023-11-10,1.6752,-0.16,1.6752
2023-11-13,1.6781,0.17,1.6781
2023-11-14,1.6796,0.09,1.6796
2023-11-15,1.6871,0.45,1.6871
2023-11-16,1.6754,-0.69,1.6754
2023-11-17,1.678,0.16,1.678
2023-11-20,1.6902,0.73,1.6902
2023-11-21,1.6881,-0.12,1.6881
2023-11-22,1.6753,-0.76,1.6753
2023-11-23,1.6818,0.39,1.6818
2023-11-24,1.6721,-0.58,1.6721
2023-11-27,1.674,0.11,1.674
2023-11-28,1.6707,-0.2,1.6707
2023-11-29,1.6649,-0.35,1.6649
2023-11-30,1.6656,0.04,1.6656
2023-12-01,1.6602,-0.32,1.6602
2023-12-04,1.6716,0.69,1.6716
2023-12-05,1.6459,-1.54,1.6459
2023-12-06,1.6598,0.84,1.6598
2023-12-07,1.6585,-0.08,1.6585
2023-12-08,1.6624,0.24,1.6624
2023-12-11,1.6824,1.2,1.6824
2023-12-12,1.6793,-0.18,1.6793
2023-12-13,1.6568,-1.34,1.6568
2023-12-14,1.6513,-0.33,1.6513
2023-12-15,1.645,-0.38,1.645
2023-12-18,1.6427,-0.14,1.6427
2023-12-19,1.6424,-0.02,1.6424
2023-12-20,1.6253,-1.04,1.6253
2023-12-21,1.6378,0.77,1.6378
2023-12-22,1.6343,-0.21,1.6343
2023-12-25,1.6379,0.22,1.6379
2023-12-26,1.6254,-0.76,1.6254
2023-12-27,1.6392,0.85,1.6392
2023-12-28,1.6604,1.29,1.6604
2023-12-29,1.6714,0.66,1.6714
2023-12-31,1.6713,-0.01,1.6713
2024-01-02,1.6634,-0.47,1.6634
2024-01-03,1.6515,-0.72,1.6515
2024-01-04,1.6398,-0.71,1.6398
2024-01-05,1.6228,-1.04,1.6228
2024-01-08,1.5981,-1.52,1.5981
2024-01-09,1.5978,-0.02,1.5978
2024-01-10,1.5867,-0.69,1.5867
2024-01-11,1.5995,0.81,1.5995
2024-01-12,1.5977,-0.11,1.5977
2024-01-15,1.5919,-0.36,1.5919
2024-01-16,1.5937,0.11,1.5937
2024-01-17,1.559,-2.18,1.559
