净值日期,单位净值,日增长率,累计净值
2023-06-05,4.529,0.02,4.529
2023-06-06,4.54,0.24,4.54
2023-06-07,4.468,-1.59,4.468
2023-06-08,4.529,1.37,4.529
2023-06-09,4.533,0.09,4.533
2023-06-12,4.618,1.88,4.618
2023-06-13,4.671,1.15,4.671
2023-06-14,4.704,0.71,4.704
2023-06-15,4.754,1.06,4.754
2023-06-16,4.71,-0.93,4.71
2023-06-19,4.705,-0.11,4.705
2023-06-20,4.725,0.43,4.725
2023-06-21,4.673,-1.1,4.673
2023-06-26,4.632,-0.88,4.632
2023-06-27,4.715,1.79,4.715
2023-06-28,4.72,0.11,4.72
2023-06-29,4.719,-0.02,4.719
2023-06-30,4.797,1.65,4.797
2023-07-03,4.8,0.06,4.8
2023-07-04,4.793,-0.15,4.793
2023-07-05,4.786,-0.15,4.786
2023-07-06,4.759,-0.56,4.759
2023-07-07,4.739,-0.42,4.739
2023-07-10,4.733,-0.13,4.733
2023-07-11,4.754,0.44,4.754
2023-07-12,4.805,1.07,4.805
2023-07-13,4.873,1.42,4.873
2023-07-14,4.857,-0.33,4.857
2023-07-17,4.903,0.95,4.903
2023-07-18,4.951,0.98,4.951
2023-07-19,4.947,-0.08,4.947
2023-07-20,4.836,-2.24,4.836
2023-07-21,4.822,-0.29,4.822
2023-07-24,4.831,0.19,4.831
2023-07-25,4.863,0.66,4.863
2023-07-26,4.837,-0.53,4.837
2023-07-27,4.824,-0.27,4.824
2023-07-28,4.917,1.93,4.917
2023-07-31,4.917,0.0,4.917
2023-08-01,4.902,-0.31,4.902
2023-08-02,4.798,-2.12,4.798
2023-08-03,4.8,0.04,4.8
2023-08-04,4.77,-0.62,4.77
2023-08-07,4.809,0.82,4.809
2023-08-08,4.778,-0.64,4.778
2023-08-09,4.725,-1.11,4.725
2023-08-10,4.732,0.15,4.732
2023-08-11,4.702,-0.63,4.702
2023-08-14,4.765,1.34,4.765
2023-08-15,4.716,-1.03,4.716
2023-08-16,4.68,-0.76,4.68
2023-08-17,4.638,-0.9,4.638
2023-08-18,4.627,-0.24,4.627
2023-08-21,4.702,1.62,4.702
2023-08-22,4.693,-0.19,4.693
2023-08-23,4.765,1.53,4.765
2023-08-24,4.655,-2.31,4.655
2023-08-25,4.694,0.84,4.694
2023-08-28,4.728,0.72,4.728
2023-08-29,4.83,2.16,4.83
2023-08-30,4.854,0.5,4.854
2023-08-31,4.866,0.25,4.866
2023-09-01,4.861,-0.1,4.861
2023-09-04,4.861,0.0,4.861
2023-09-05,4.866,0.1,4.866
2023-09-06,4.834,-0.66,4.834
2023-09-07,4.8,-0.7,4.8
2023-09-08,4.817,0.35,4.817
2023-09-11,4.873,1.16,4.873
2023-09-12,4.808,-1.33,4.808
2023-09-13,4.821,0.27,4.821
2023-09-14,4.859,0.79,4.859
2023-09-15,4.768,-1.87,4.768
2023-09-18,4.772,0.08,4.772
2023-09-19,4.761,-0.23,4.761
2023-09-20,4.693,-1.43,4.693
2023-09-21,4.605,-1.88,4.605
2023-09-22,4.608,0.07,4.608
2023-09-25,4.629,0.46,4.629
2023-09-26,4.559,-1.51,4.559
2023-09-27,4.568,0.2,4.568
2023-09-28,4.612,0.96,4.612
2023-10-09,4.716,2.25,4.716
2023-10-10,4.742,0.55,4.742
2023-10-11,4.776,0.72,4.776
2023-10-12,4.757,-0.4,4.757
2023-10-13,4.698,-1.24,4.698
2023-10-16,4.752,1.15,4.752
2023-10-17,4.737,-0.32,4.737
2023-10-18,4.67,-1.41,4.67
2023-10-19,4.63,-0.86,4.63
2023-10-20,4.56,-1.51,4.56
2023-10-23,4.575,0.33,4.575
2023-10-24,4.617,0.92,4.617
2023-10-25,4.504,-2.45,4.504
2023-10-26,4.418,-1.91,4.418
2023-10-27,4.44,0.5,4.44
2023-10-30,4.49,1.13,4.49
2023-10-31,4.513,0.51,4.513
2023-11-01,4.593,1.77,4.593
2023-11-02,4.674,1.76,4.674
2023-11-03,4.73,1.2,4.73
2023-11-06,4.746,0.34,4.746
2023-11-07,4.789,0.91,4.789
2023-11-08,4.792,0.06,4.792
2023-11-09,4.756,-0.75,4.756
2023-11-10,4.863,2.25,4.863
2023-11-13,4.849,-0.29,4.849
2023-11-14,4.953,2.14,4.953
2023-11-15,4.954,0.02,4.954
2023-11-16,4.957,0.06,4.957
2023-11-17,4.959,0.04,4.959
2023-11-20,5.01,1.03,5.01
2023-11-21,4.967,-0.86,4.967
2023-11-22,4.978,0.22,4.978
2023-11-23,4.975,-0.06,4.975
2023-11-24,4.965,-0.2,4.965
2023-11-27,4.959,-0.12,4.959
2023-11-28,4.972,0.26,4.972
2023-11-29,4.958,-0.28,4.958
2023-11-30,4.946,-0.24,4.946
2023-12-01,4.966,0.4,4.966
2023-12-04,4.911,-1.11,4.911
2023-12-05,4.931,0.41,4.931
2023-12-06,4.903,-0.57,4.903
2023-12-07,4.978,1.53,4.978
2023-12-08,4.994,0.32,4.994
2023-12-11,5.038,0.88,5.038
2023-12-12,5.08,0.83,5.08
2023-12-13,5.141,1.2,5.141
2023-12-14,5.131,-0.19,5.131
2023-12-15,5.148,0.33,5.148
2023-12-18,5.181,0.64,5.181
2023-12-19,5.21,0.56,5.21
2023-12-20,5.13,-1.54,5.13
2023-12-21,5.194,1.25,5.194
2023-12-22,5.197,0.06,5.197
2023-12-25,5.2,0.06,5.2
2023-12-26,5.227,0.52,5.227
2023-12-27,5.237,0.19,5.237
2023-12-28,5.232,-0.1,5.232
2023-12-29,5.201,-0.59,5.201
2023-12-31,5.2,-0.02,5.2
2024-01-02,5.109,-1.75,5.109
2024-01-03,5.07,-0.76,5.07
2024-01-04,5.043,-0.53,5.043
2024-01-05,5.052,0.18,5.052
2024-01-08,5.156,2.06,5.156
2024-01-09,5.165,0.17,5.165
2024-01-10,5.202,0.72,5.202
2024-01-11,5.212,0.19,5.212
2024-01-12,5.211,-0.02,5.211
2024-01-15,5.213,0.04,5.213
2024-01-16,5.216,0.06,5.216
2024-01-17,5.188,-0.54,5.188
2024-01-18,5.265,1.48,5.265
2024-01-19,5.366,1.92,5.366
2024-01-22,5.366,0.0,5.366
2024-01-23,5.391,0.47,5.391
2024-01-24,5.413,0.41,5.413
2024-01-25,5.418,0.09,5.418
2024-01-26,5.391,-0.5,5.391
2024-01-29,5.445,1.0,5.445
2024-01-30,5.406,-0.72,5.406
2024-01-31,5.303,-1.91,5.303
2024-02-01,5.365,1.17,5.365
2024-02-02,5.452,1.62,5.452
2024-02-05,5.446,-0.11,5.446
2024-02-06,5.435,-0.2,5.435
2024-02-07,5.488,0.98,5.488
2024-02-08,5.498,0.18,5.498
2024-02-19,5.466,-0.58,5.466
2024-02-20,5.425,-0.75,5.425
2024-02-21,5.402,-0.42,5.402
2024-02-22,5.563,2.98,5.563
2024-02-23,5.546,-0.31,5.546
2024-02-26,5.545,-0.02,5.545
2024-02-27,5.555,0.18,5.555
2024-02-28,5.527,-0.5,5.527
2024-02-29,5.577,0.9,5.577
2024-03-01,5.658,1.45,5.658
2024-03-04,5.629,-0.51,5.629
2024-03-05,5.528,-1.79,5.528
2024-03-06,5.564,0.65,5.564
2024-03-07,5.649,1.53,5.649
2024-03-08,5.562,-1.54,5.562
2024-03-11,5.537,-0.45,5.537
2024-03-12,5.618,1.46,5.618
2024-03-13,5.57,-0.85,5.57
2024-03-14,5.557,-0.23,5.557
2024-03-15,5.493,-1.15,5.493
2024-03-18,5.546,0.96,5.546
2024-03-19,5.563,0.31,5.563
2024-03-20,5.626,1.13,5.626
2024-03-21,5.649,0.41,5.649
2024-03-22,5.659,0.18,5.659
2024-03-25,5.639,-0.35,5.639
2024-03-26,5.615,-0.43,5.615
2024-03-27,5.635,0.36,5.635
2024-03-28,5.627,-0.14,5.627
2024-03-29,5.627,0.0,5.627
2024-04-01,5.637,0.18,5.637
