净值日期,单位净值,日增长率,累计净值
2023-06-05,3.8495,-0.46,3.8495
2023-06-06,3.814,-0.92,3.814
2023-06-07,3.7962,-0.47,3.7962
2023-06-08,3.8271,0.81,3.8271
2023-06-09,3.8452,0.47,3.8452
2023-06-12,3.8533,0.21,3.8533
2023-06-13,3.8753,0.57,3.8753
2023-06-14,3.8795,0.11,3.8795
2023-06-15,3.9421,1.61,3.9421
2023-06-16,3.9809,0.98,3.9809
2023-06-19,3.9523,-0.72,3.9523
2023-06-20,3.9466,-0.14,3.9466
2023-06-21,3.8898,-1.44,3.8898
2023-06-26,3.8363,-1.38,3.8363
2023-06-27,3.8738,0.98,3.8738
2023-06-28,3.8725,-0.03,3.8725
2023-06-29,3.8547,-0.46,3.8547
2023-06-30,3.8804,0.67,3.8804
2023-07-03,3.9313,1.31,3.9313
2023-07-04,3.9374,0.16,3.9374
2023-07-05,3.9088,-0.73,3.9088
2023-07-06,3.8836,-0.64,3.8836
2023-07-07,3.8672,-0.42,3.8672
2023-07-10,3.8857,0.48,3.8857
2023-07-11,3.9114,0.66,3.9114
2023-07-12,3.8899,-0.55,3.8899
2023-07-13,3.9518,1.59,3.9518
2023-07-14,3.9539,0.05,3.9539
2023-07-17,3.9268,-0.69,3.9268
2023-07-18,3.9171,-0.25,3.9171
2023-07-19,3.9139,-0.08,3.9139
2023-07-20,3.8868,-0.69,3.8868
2023-07-21,3.8878,0.03,3.8878
2023-07-24,3.8708,-0.44,3.8708
2023-07-25,3.9822,2.88,3.9822
2023-07-26,3.9745,-0.19,3.9745
2023-07-27,3.9697,-0.12,3.9697
2023-07-28,4.0629,2.35,4.0629
2023-07-31,4.0849,0.54,4.0849
2023-08-01,4.0679,-0.42,4.0679
2023-08-02,4.0396,-0.7,4.0396
2023-08-03,4.075,0.88,4.075
2023-08-04,4.0911,0.4,4.0911
2023-08-07,4.06,-0.76,4.06
2023-08-08,4.0494,-0.26,4.0494
2023-08-09,4.0382,-0.28,4.0382
2023-08-10,4.0468,0.21,4.0468
2023-08-11,3.9557,-2.25,3.9557
2023-08-14,3.9268,-0.73,3.9268
2023-08-15,3.9172,-0.24,3.9172
2023-08-16,3.8887,-0.73,3.8887
2023-08-17,3.9014,0.33,3.9014
2023-08-18,3.8539,-1.22,3.8539
2023-08-21,3.7987,-1.43,3.7987
2023-08-22,3.8278,0.77,3.8278
2023-08-23,3.7655,-1.63,3.7655
2023-08-24,3.7925,0.72,3.7925
2023-08-25,3.7807,-0.31,3.7807
2023-08-28,3.8252,1.18,3.8252
2023-08-29,3.863,0.99,3.863
2023-08-30,3.861,-0.05,3.861
2023-08-31,3.8376,-0.61,3.8376
2023-09-01,3.8645,0.7,3.8645
2023-09-04,3.9228,1.51,3.9228
2023-09-05,3.8937,-0.74,3.8937
2023-09-06,3.8852,-0.22,3.8852
2023-09-07,3.8309,-1.4,3.8309
2023-09-08,3.8121,-0.49,3.8121
2023-09-11,3.8401,0.73,3.8401
2023-09-12,3.833,-0.18,3.833
2023-09-13,3.8086,-0.64,3.8086
2023-09-14,3.8054,-0.08,3.8054
2023-09-15,3.7806,-0.65,3.7806
2023-09-18,3.7998,0.51,3.7998
2023-09-19,3.7925,-0.19,3.7925
2023-09-20,3.778,-0.38,3.778
2023-09-21,3.7442,-0.89,3.7442
2023-09-22,3.8116,1.8,3.8116
2023-09-25,3.7867,-0.65,3.7867
2023-09-26,3.7647,-0.58,3.7647
2023-09-27,3.7724,0.2,3.7724
2023-09-28,3.7612,-0.3,3.7612
2023-10-09,3.7555,-0.15,3.7555
2023-10-10,3.7274,-0.75,3.7274
