净值日期,单位净值,日增长率,累计净值
2023-06-05,0.866,-0.35,0.866
2023-06-06,0.871,0.58,0.871
2023-06-07,0.864,-0.8,0.864
2023-06-08,0.872,0.93,0.872
2023-06-09,0.873,0.11,0.873
2023-06-12,0.882,1.03,0.882
2023-06-13,0.889,0.79,0.889
2023-06-14,0.893,0.45,0.893
2023-06-15,0.902,1.01,0.902
2023-06-16,0.897,-0.55,0.897
2023-06-19,0.894,-0.33,0.894
2023-06-20,0.894,0.0,0.894
2023-06-21,0.884,-1.12,0.884
2023-06-26,0.876,-0.9,0.876
2023-06-27,0.888,1.37,0.888
2023-06-28,0.89,0.23,0.89
2023-06-29,0.889,-0.11,0.889
2023-06-30,0.899,1.12,0.899
2023-07-03,0.904,0.56,0.904
2023-07-04,0.903,-0.11,0.903
2023-07-05,0.899,-0.44,0.899
2023-07-06,0.89,-1.0,0.89
2023-07-07,0.889,-0.11,0.889
2023-07-10,0.89,0.11,0.89
2023-07-11,0.898,0.9,0.898
2023-07-12,0.907,1.0,0.907
2023-07-13,0.919,1.32,0.919
2023-07-14,0.913,-0.65,0.913
2023-07-17,0.919,0.66,0.919
2023-07-18,0.921,0.22,0.921
2023-07-19,0.92,-0.11,0.92
2023-07-20,0.905,-1.63,0.905
2023-07-21,0.905,0.0,0.905
2023-07-24,0.905,0.0,0.905
2023-07-25,0.917,1.33,0.917
2023-07-26,0.915,-0.22,0.915
2023-07-27,0.912,-0.33,0.912
2023-07-28,0.93,1.97,0.93
2023-07-31,0.936,0.65,0.936
2023-08-01,0.932,-0.43,0.932
2023-08-02,0.913,-2.04,0.913
2023-08-03,0.917,0.44,0.917
2023-08-04,0.918,0.11,0.918
2023-08-07,0.923,0.54,0.923
2023-08-08,0.917,-0.65,0.917
2023-08-09,0.91,-0.76,0.91
2023-08-10,0.912,0.22,0.912
2023-08-11,0.907,-0.55,0.907
2023-08-14,0.911,0.44,0.911
2023-08-15,0.901,-1.1,0.901
2023-08-16,0.894,-0.78,0.894
2023-08-17,0.89,-0.45,0.89
2023-08-18,0.884,-0.67,0.884
2023-08-21,0.889,0.57,0.889
2023-08-22,0.889,0.0,0.889
2023-08-23,0.899,1.12,0.899
2023-08-24,0.889,-1.11,0.889
2023-08-25,0.89,0.11,0.89
2023-08-28,0.896,0.67,0.896
2023-08-29,0.914,2.01,0.914
2023-08-30,0.918,0.44,0.918
2023-08-31,0.919,0.11,0.919
2023-09-01,0.92,0.11,0.92
2023-09-04,0.926,0.65,0.926
2023-09-05,0.923,-0.32,0.923
2023-09-06,0.92,-0.33,0.92
2023-09-07,0.914,-0.65,0.914
2023-09-08,0.917,0.33,0.917
2023-09-11,0.923,0.65,0.923
2023-09-12,0.916,-0.76,0.916
2023-09-13,0.916,0.0,0.916
2023-09-14,0.921,0.55,0.921
2023-09-15,0.91,-1.19,0.91
2023-09-18,0.907,-0.33,0.907
2023-09-19,0.905,-0.22,0.905
2023-09-20,0.895,-1.1,0.895
2023-09-21,0.88,-1.68,0.88
2023-09-22,0.885,0.57,0.885
2023-09-25,0.885,0.0,0.885
2023-09-26,0.873,-1.36,0.873
2023-09-27,0.8757,0.31,0.8757
2023-09-28,0.8792,0.4,0.8792
2023-10-09,0.8879,0.99,0.8879
2023-10-10,0.8938,0.66,0.8938
2023-10-11,0.9006,0.76,0.9006
2023-10-12,0.9012,0.07,0.9012
2023-10-13,0.8914,-1.09,0.8914
2023-10-16,0.8966,0.58,0.8966
2023-10-17,0.8963,-0.03,0.8963
2023-10-18,0.8856,-1.19,0.8856
2023-10-19,0.876,-1.08,0.876
2023-10-20,0.8662,-1.12,0.8662
2023-10-23,0.8668,0.07,0.8668
2023-10-24,0.871,0.48,0.871
2023-10-25,0.8594,-1.33,0.8594
2023-10-26,0.8495,-1.15,0.8495
2023-10-27,0.8555,0.71,0.8555
2023-10-30,0.8614,0.69,0.8614
2023-10-31,0.86,-0.16,0.86
2023-11-01,0.8705,1.22,0.8705
2023-11-02,0.8836,1.5,0.8836
2023-11-03,0.8931,1.08,0.8931
2023-11-06,0.8969,0.43,0.8969
2023-11-07,0.8974,0.06,0.8974
2023-11-08,0.8962,-0.13,0.8962
2023-11-09,0.8925,-0.41,0.8925
2023-11-10,0.9009,0.94,0.9009
2023-11-13,0.9034,0.28,0.9034
2023-11-14,0.9145,1.23,0.9145
2023-11-15,0.9201,0.61,0.9201
2023-11-16,0.9193,-0.09,0.9193
2023-11-17,0.916,-0.36,0.916
2023-11-20,0.9239,0.86,0.9239
2023-11-21,0.9182,-0.62,0.9182
2023-11-22,0.9192,0.11,0.9192
2023-11-23,0.9201,0.1,0.9201
2023-11-24,0.9157,-0.48,0.9157
2023-11-27,0.916,0.03,0.916
2023-11-28,0.9157,-0.03,0.9157
2023-11-29,0.91,-0.62,0.91
2023-11-30,0.9099,-0.01,0.9099
2023-12-01,0.9103,0.04,0.9103
2023-12-04,0.9005,-1.08,0.9005
2023-12-05,0.8993,-0.13,0.8993
2023-12-06,0.8958,-0.39,0.8958
2023-12-07,0.9035,0.86,0.9035
2023-12-08,0.9055,0.22,0.9055
2023-12-11,0.9054,-0.01,0.9054
2023-12-12,0.912,0.73,0.912
2023-12-13,0.9163,0.47,0.9163
2023-12-14,0.9155,-0.09,0.9155
2023-12-15,0.9199,0.48,0.9199
2023-12-18,0.9237,0.41,0.9237
2023-12-19,0.9266,0.31,0.9266
2023-12-20,0.919,-0.82,0.919
2023-12-21,0.9265,0.82,0.9265
2023-12-22,0.9195,-0.76,0.9195
2023-12-25,0.9199,0.04,0.9199
2023-12-26,0.9222,0.25,0.9222
2023-12-27,0.9269,0.51,0.9269
2023-12-28,0.9306,0.4,0.9306
2023-12-29,0.9262,-0.47,0.9262
2023-12-31,0.9261,-0.01,0.9261
2024-01-02,0.9164,-1.05,0.9164
2024-01-03,0.9162,-0.02,0.9162
2024-01-04,0.9131,-0.34,0.9131
2024-01-05,0.9135,0.04,0.9135
2024-01-08,0.9218,0.91,0.9218
2024-01-09,0.9242,0.26,0.9242
2024-01-10,0.9287,0.49,0.9287
2024-01-11,0.9314,0.29,0.9314
2024-01-12,0.9307,-0.08,0.9307
2024-01-15,0.9306,-0.01,0.9306
2024-01-16,0.9263,-0.46,0.9263
2024-01-17,0.9166,-1.05,0.9166
2024-01-18,0.9234,0.74,0.9234
2024-01-19,0.9313,0.86,0.9313
2024-01-22,0.9281,-0.34,0.9281
2024-01-23,0.9347,0.71,0.9347
2024-01-24,0.9446,1.06,0.9446
2024-01-25,0.953,0.89,0.953
2024-01-26,0.9508,-0.23,0.9508
2024-01-29,0.9574,0.69,0.9574
2024-01-30,0.9499,-0.78,0.9499
2024-01-31,0.9344,-1.63,0.9344
2024-02-01,0.9447,1.1,0.9447
2024-02-02,0.9567,1.27,0.9567
2024-02-05,0.9566,-0.01,0.9566
2024-02-06,0.9613,0.49,0.9613
2024-02-07,0.968,0.7,0.968
2024-02-08,0.9696,0.17,0.9696
2024-02-19,0.9781,0.88,0.9781
2024-02-20,0.973,-0.52,0.973
2024-02-21,0.9735,0.05,0.9735
2024-02-22,0.9975,2.47,0.9975
2024-02-23,0.997,-0.05,0.997
2024-02-26,0.9946,-0.24,0.9946
2024-02-27,0.9959,0.13,0.9959
2024-02-28,0.9909,-0.5,0.9909
2024-02-29,0.9962,0.53,0.9962
2024-03-01,1.0094,1.33,1.0094
2024-03-04,1.0105,0.11,1.0105
2024-03-05,0.9961,-1.43,0.9961
2024-03-06,1.0043,0.82,1.0043
2024-03-07,1.0121,0.78,1.0121
2024-03-08,1.0029,-0.91,1.0029
2024-03-11,0.9994,-0.35,0.9994
2024-03-12,1.0172,1.78,1.0172
2024-03-13,1.0137,-0.34,1.0137
2024-03-14,1.0107,-0.3,1.0107
2024-03-15,1.0016,-0.9,1.0016
2024-03-18,1.0064,0.48,1.0064
2024-03-19,1.0066,0.02,1.0066
2024-03-20,1.0151,0.84,1.0151
2024-03-21,1.0238,0.86,1.0238
2024-03-22,1.0213,-0.24,1.0213
2024-03-25,1.02,-0.13,1.02
2024-03-26,1.018,-0.2,1.018
2024-03-27,1.0176,-0.04,1.0176
2024-03-28,1.0217,0.4,1.0217
2024-03-29,1.0215,-0.02,1.0215
2024-04-01,1.0225,0.1,1.0225
