净值日期,单位净值,日增长率,累计净值
2023-06-05,2.536,-0.59,2.536
2023-06-06,2.527,-0.35,2.527
2023-06-07,2.519,-0.32,2.519
2023-06-08,2.548,1.15,2.548
2023-06-09,2.559,0.43,2.559
2023-06-12,2.558,-0.04,2.558
2023-06-13,2.563,0.2,2.563
2023-06-14,2.567,0.16,2.567
2023-06-15,2.603,1.4,2.603
2023-06-16,2.628,0.96,2.628
2023-06-19,2.594,-1.29,2.594
2023-06-20,2.581,-0.5,2.581
2023-06-21,2.554,-1.05,2.554
2023-06-26,2.524,-1.17,2.524
2023-06-27,2.542,0.71,2.542
2023-06-28,2.55,0.31,2.55
2023-06-29,2.53,-0.78,2.53
2023-06-30,2.54,0.4,2.54
2023-07-03,2.583,1.69,2.583
2023-07-04,2.586,0.12,2.586
2023-07-05,2.571,-0.58,2.571
2023-07-06,2.552,-0.74,2.552
2023-07-07,2.54,-0.47,2.54
2023-07-10,2.554,0.55,2.554
2023-07-11,2.57,0.63,2.57
2023-07-12,2.568,-0.08,2.568
2023-07-13,2.61,1.64,2.61
2023-07-14,2.612,0.08,2.612
2023-07-17,2.588,-0.92,2.588
2023-07-18,2.583,-0.19,2.583
2023-07-19,2.589,0.23,2.589
2023-07-20,2.579,-0.39,2.579
2023-07-21,2.585,0.23,2.585
2023-07-24,2.575,-0.39,2.575
2023-07-25,2.655,3.11,2.655
2023-07-26,2.653,-0.08,2.653
2023-07-27,2.652,-0.04,2.652
2023-07-28,2.726,2.79,2.726
2023-07-31,2.733,0.26,2.733
2023-08-01,2.725,-0.29,2.725
2023-08-02,2.699,-0.95,2.699
2023-08-03,2.724,0.93,2.724
2023-08-04,2.728,0.15,2.728
2023-08-07,2.713,-0.55,2.713
2023-08-08,2.71,-0.11,2.71
2023-08-09,2.707,-0.11,2.707
2023-08-10,2.708,0.04,2.708
2023-08-11,2.646,-2.29,2.646
2023-08-14,2.625,-0.79,2.625
2023-08-15,2.622,-0.11,2.622
2023-08-16,2.606,-0.61,2.606
2023-08-17,2.612,0.23,2.612
2023-08-18,2.582,-1.15,2.582
2023-08-21,2.549,-1.28,2.549
2023-08-22,2.568,0.75,2.568
2023-08-23,2.535,-1.29,2.535
2023-08-24,2.555,0.79,2.555
2023-08-25,2.562,0.27,2.562
2023-08-28,2.596,1.33,2.596
2023-08-29,2.607,0.42,2.607
2023-08-30,2.6,-0.27,2.6
2023-08-31,2.588,-0.46,2.588
2023-09-01,2.611,0.89,2.611
2023-09-04,2.657,1.76,2.657
2023-09-05,2.641,-0.6,2.641
2023-09-06,2.638,-0.11,2.638
2023-09-07,2.612,-0.99,2.612
2023-09-08,2.597,-0.57,2.597
2023-09-11,2.614,0.65,2.614
2023-09-12,2.609,-0.19,2.609
2023-09-13,2.602,-0.27,2.602
2023-09-14,2.608,0.23,2.608
2023-09-15,2.593,-0.58,2.593
2023-09-18,2.61,0.66,2.61
2023-09-19,2.61,0.0,2.61
2023-09-20,2.6,-0.38,2.6
2023-09-21,2.574,-1.0,2.574
2023-09-22,2.63,2.18,2.63
2023-09-25,2.608,-0.84,2.608
2023-09-26,2.592,-0.61,2.592
2023-09-27,2.599,0.27,2.599
2023-09-28,2.585,-0.54,2.585
2023-10-09,2.577,-0.31,2.577
2023-10-10,2.559,-0.7,2.559
2023-10-11,2.568,0.35,2.568
2023-10-12,2.592,0.93,2.592
2023-10-13,2.566,-1.0,2.566
2023-10-16,2.544,-0.86,2.544
2023-10-17,2.555,0.43,2.555
2023-10-18,2.543,-0.47,2.543
2023-10-19,2.475,-2.67,2.475
2023-10-20,2.462,-0.53,2.462
2023-10-23,2.442,-0.81,2.442
2023-10-24,2.451,0.37,2.451
2023-10-25,2.463,0.49,2.463
2023-10-26,2.47,0.28,2.47
2023-10-27,2.492,0.89,2.492
2023-10-30,2.491,-0.04,2.491
2023-10-31,2.488,-0.12,2.488
2023-11-01,2.498,0.4,2.498
2023-11-02,2.494,-0.16,2.494
2023-11-03,2.514,0.8,2.514
2023-11-06,2.535,0.84,2.535
2023-11-07,2.521,-0.55,2.521
2023-11-08,2.514,-0.28,2.514
2023-11-09,2.513,-0.04,2.513
2023-11-10,2.49,-0.92,2.49
2023-11-13,2.484,-0.24,2.484
2023-11-14,2.482,-0.08,2.482
2023-11-15,2.503,0.85,2.503
2023-11-16,2.48,-0.92,2.48
2023-11-17,2.473,-0.28,2.473
2023-11-20,2.48,0.28,2.48
2023-11-21,2.492,0.48,2.492
2023-11-22,2.472,-0.8,2.472
2023-11-23,2.48,0.32,2.48
2023-11-24,2.466,-0.56,2.466
2023-11-27,2.406,-0.85,2.406
2023-11-28,2.406,0.0,2.406
2023-11-29,2.393,-0.54,2.393
2023-11-30,2.401,0.33,2.401
2023-12-01,2.387,-0.58,2.387
2023-12-04,2.368,-0.8,2.368
2023-12-05,2.32,-2.03,2.32
2023-12-06,2.317,-0.13,2.317
2023-12-07,2.308,-0.39,2.308
2023-12-08,2.315,0.3,2.315
2023-12-11,2.325,0.43,2.325
2023-12-12,2.337,0.52,2.337
2023-12-13,2.292,-1.93,2.292
2023-12-14,2.281,-0.48,2.281
2023-12-15,2.276,-0.22,2.276
2023-12-18,2.282,0.26,2.282
2023-12-19,2.288,0.26,2.288
2023-12-20,2.274,-0.61,2.274
2023-12-21,2.298,1.06,2.298
2023-12-22,2.307,0.39,2.307
2023-12-25,2.31,0.13,2.31
2023-12-26,2.299,-0.48,2.299
2023-12-27,2.304,0.22,2.304
2023-12-28,2.356,2.26,2.356
2023-12-29,2.364,0.34,2.364
2023-12-31,2.364,0.0,2.364
2024-01-02,2.329,-1.48,2.329
2024-01-03,2.332,0.13,2.332
2024-01-04,2.316,-0.69,2.316
2024-01-05,2.305,-0.47,2.305
2024-01-08,2.28,-1.08,2.28
2024-01-09,2.281,0.04,2.281
2024-01-10,2.271,-0.44,2.271
2024-01-11,2.276,0.22,2.276
2024-01-12,2.273,-0.13,2.273
2024-01-15,2.274,0.04,2.274
2024-01-16,2.2845,0.46,2.2845
2024-01-17,2.2342,-2.2,2.2342
2024-01-18,2.273,1.74,2.273
2024-01-19,2.2786,0.25,2.2786
2024-01-22,2.2653,-0.58,2.2653
2024-01-23,2.2612,-0.18,2.2612
2024-01-24,2.2957,1.53,2.2957
2024-01-25,2.3487,2.31,2.3487
2024-01-26,2.3502,0.06,2.3502
2024-01-29,2.3401,-0.43,2.3401
2024-01-30,2.3061,-1.45,2.3061
2024-01-31,2.289,-0.74,2.289
2024-02-01,2.2828,-0.27,2.2828
2024-02-02,2.2629,-0.87,2.2629
2024-02-05,2.2895,1.18,2.2895
2024-02-06,2.3539,2.81,2.3539
2024-02-07,2.3795,1.09,2.3795
2024-02-08,2.3881,0.36,2.3881
2024-02-19,2.4068,0.78,2.4068
2024-02-20,2.4043,-0.1,2.4043
2024-02-21,2.4464,1.75,2.4464
2024-02-22,2.4694,0.94,2.4694
2024-02-23,2.4697,0.01,2.4697
2024-02-26,2.4292,-1.64,2.4292
2024-02-27,2.4407,0.47,2.4407
