净值日期,单位净值,日增长率,累计净值
2023-06-05,2.076,-1.33,2.076
2023-06-06,2.063,-0.63,2.063
2023-06-07,2.039,-1.16,2.039
2023-06-08,2.058,0.93,2.058
2023-06-09,2.057,-0.05,2.057
2023-06-12,2.096,1.9,2.096
2023-06-13,2.112,0.76,2.112
2023-06-14,2.138,1.23,2.138
2023-06-15,2.183,2.1,2.183
2023-06-16,2.202,0.87,2.202
2023-06-19,2.163,-1.77,2.163
2023-06-20,2.146,-0.79,2.146
2023-06-21,2.11,-1.68,2.11
2023-06-26,2.076,-1.61,2.076
2023-06-27,2.085,0.43,2.085
2023-06-28,2.086,0.05,2.086
2023-06-29,2.054,-1.53,2.054
2023-06-30,2.049,-0.24,2.049
2023-07-03,2.094,2.2,2.094
2023-07-04,2.105,0.53,2.105
2023-07-05,2.077,-1.33,2.077
2023-07-06,2.056,-1.01,2.056
2023-07-07,2.043,-0.63,2.043
2023-07-10,2.06,0.83,2.06
2023-07-11,2.061,0.05,2.061
2023-07-12,2.068,0.34,2.068
2023-07-13,2.123,2.66,2.123
2023-07-14,2.12,-0.14,2.12
2023-07-17,2.096,-1.13,2.096
2023-07-18,2.091,-0.24,2.091
2023-07-19,2.093,0.1,2.093
2023-07-20,2.092,-0.05,2.092
2023-07-21,2.114,1.05,2.114
2023-07-24,2.092,-1.04,2.092
2023-07-25,2.165,3.49,2.165
2023-07-26,2.169,0.18,2.169
2023-07-27,2.187,0.83,2.187
2023-07-28,2.232,2.06,2.232
2023-07-31,2.221,-0.49,2.221
2023-08-01,2.212,-0.41,2.212
2023-08-02,2.198,-0.63,2.198
2023-08-03,2.213,0.68,2.213
2023-08-04,2.21,-0.14,2.21
2023-08-07,2.176,-1.54,2.176
2023-08-08,2.174,-0.09,2.174
2023-08-09,2.187,0.6,2.187
2023-08-10,2.183,-0.18,2.183
2023-08-11,2.145,-1.74,2.145
2023-08-14,2.129,-0.75,2.129
2023-08-15,2.118,-0.52,2.118
2023-08-16,2.119,0.05,2.119
2023-08-17,2.147,1.32,2.147
