净值日期,单位净值,日增长率,累计净值
2023-06-05,0.7959,0.32,0.7959
2023-06-06,0.7833,-1.58,0.7833
2023-06-07,0.7844,0.14,0.7844
2023-06-08,0.7774,-0.89,0.7774
2023-06-09,0.7846,0.93,0.7846
2023-06-12,0.7842,-0.05,0.7842
2023-06-13,0.793,1.12,0.793
2023-06-14,0.7944,0.18,0.7944
2023-06-15,0.805,1.33,0.805
2023-06-16,0.813,0.99,0.813
2023-06-19,0.8161,0.38,0.8161
2023-06-20,0.817,0.11,0.817
2023-06-21,0.8019,-1.85,0.8019
2023-06-26,0.789,-1.61,0.789
2023-06-27,0.7975,1.08,0.7975
2023-06-28,0.7906,-0.87,0.7906
2023-06-29,0.7966,0.76,0.7966
2023-06-30,0.799,0.3,0.799
2023-07-03,0.7991,0.01,0.7991
2023-07-04,0.803,0.49,0.803
2023-07-05,0.796,-0.87,0.796
2023-07-06,0.788,-1.01,0.788
2023-07-07,0.7814,-0.84,0.7814
2023-07-10,0.781,-0.05,0.781
2023-07-11,0.7916,1.36,0.7916
2023-07-12,0.7865,-0.64,0.7865
2023-07-13,0.7998,1.69,0.7998
2023-07-14,0.8037,0.49,0.8037
2023-07-17,0.8014,-0.29,0.8014
2023-07-18,0.7929,-1.06,0.7929
2023-07-19,0.7917,-0.15,0.7917
2023-07-20,0.7804,-1.43,0.7804
2023-07-21,0.7795,-0.12,0.7795
2023-07-24,0.7785,-0.13,0.7785
2023-07-25,0.7948,2.09,0.7948
2023-07-26,0.7881,-0.84,0.7881
2023-07-27,0.7851,-0.38,0.7851
2023-07-28,0.7926,0.96,0.7926
2023-07-31,0.7959,0.42,0.7959
2023-08-01,0.7936,-0.29,0.7936
2023-08-02,0.7882,-0.68,0.7882
2023-08-03,0.7915,0.42,0.7915
2023-08-04,0.7947,0.4,0.7947
2023-08-07,0.7894,-0.67,0.7894
2023-08-08,0.7871,-0.29,0.7871
2023-08-09,0.7863,-0.1,0.7863
2023-08-10,0.7876,0.17,0.7876
2023-08-11,0.7756,-1.52,0.7756
2023-08-14,0.7727,-0.37,0.7727
2023-08-15,0.7693,-0.44,0.7693
2023-08-16,0.7598,-1.23,0.7598
2023-08-17,0.7669,0.93,0.7669
2023-08-18,0.7548,-1.58,0.7548
2023-08-21,0.7449,-1.31,0.7449
2023-08-22,0.753,1.09,0.753
2023-08-23,0.7456,-0.98,0.7456
2023-08-24,0.7547,1.22,0.7547
2023-08-25,0.7415,-1.75,0.7415
2023-08-28,0.7469,0.73,0.7469
2023-08-29,0.7677,2.78,0.7677
2023-08-30,0.7739,0.81,0.7739
2023-08-31,0.7692,-0.61,0.7692
2023-09-01,0.7684,-0.1,0.7684
2023-09-04,0.7785,1.31,0.7785
2023-09-05,0.7691,-1.21,0.7691
2023-09-06,0.7707,0.21,0.7707
2023-09-07,0.7582,-1.62,0.7582
2023-09-08,0.7603,0.28,0.7603
2023-09-11,0.7672,0.91,0.7672
2023-09-12,0.7656,-0.21,0.7656
2023-09-13,0.7597,-0.77,0.7597
2023-09-14,0.758,-0.22,0.758
2023-09-15,0.7575,-0.07,0.7575
2023-09-18,0.7596,0.28,0.7596
2023-09-19,0.7559,-0.49,0.7559
2023-09-20,0.7492,-0.89,0.7492
2023-09-21,0.7415,-1.03,0.7415
2023-09-22,0.7623,2.81,0.7623
2023-09-25,0.7532,-1.19,0.7532
2023-09-26,0.7492,-0.53,0.7492
2023-09-27,0.7504,0.16,0.7504
2023-09-28,0.7509,0.07,0.7509
2023-10-09,0.7518,0.12,0.7518
2023-10-10,0.7548,0.4,0.7548
2023-10-11,0.7616,0.9,0.7616
2023-10-12,0.7691,0.98,0.7691
2023-10-13,0.766,-0.4,0.766
2023-10-16,0.7557,-1.34,0.7557
2023-10-17,0.76,0.57,0.76
2023-10-18,0.7518,-1.08,0.7518
2023-10-19,0.7435,-1.1,0.7435
2023-10-20,0.7317,-1.59,0.7317
2023-10-23,0.7204,-1.54,0.7204
2023-10-24,0.7204,0.0,0.7204
