净值日期,单位净值,日增长率,累计净值
2023-06-05,1.2845,0.13,1.2845
2023-06-06,1.2736,-0.85,1.2736
2023-06-07,1.2754,0.14,1.2754
2023-06-08,1.2742,-0.09,1.2742
2023-06-09,1.2852,0.86,1.2852
2023-06-12,1.2876,0.19,1.2876
2023-06-13,1.2927,0.4,1.2927
2023-06-14,1.3015,0.68,1.3015
2023-06-15,1.2989,-0.2,1.2989
2023-06-16,1.3057,0.52,1.3057
2023-06-19,1.3078,0.16,1.3078
2023-06-20,1.3077,-0.01,1.3077
2023-06-21,1.2923,-1.18,1.2923
2023-06-26,1.2828,-0.74,1.2828
2023-06-27,1.2889,0.48,1.2889
2023-06-28,1.2855,-0.26,1.2855
2023-06-29,1.2872,0.13,1.2872
2023-06-30,1.2894,0.17,1.2894
2023-07-03,1.2891,-0.02,1.2891
2023-07-04,1.2893,0.02,1.2893
2023-07-05,1.2827,-0.51,1.2827
2023-07-06,1.2839,0.09,1.2839
2023-07-07,1.2791,-0.37,1.2791
2023-07-10,1.2742,-0.38,1.2742
2023-07-11,1.2795,0.42,1.2795
2023-07-12,1.2696,-0.77,1.2696
2023-07-13,1.2783,0.69,1.2783
2023-07-14,1.2798,0.12,1.2798
2023-07-17,1.2758,-0.31,1.2758
2023-07-18,1.2739,-0.15,1.2739
2023-07-19,1.2736,-0.02,1.2736
2023-07-20,1.2627,-0.86,1.2627
2023-07-21,1.26,-0.21,1.26
2023-07-24,1.2585,-0.12,1.2585
2023-07-25,1.2665,0.64,1.2665
2023-07-26,1.2616,-0.39,1.2616
2023-07-27,1.2568,-0.38,1.2568
2023-07-28,1.2689,0.96,1.2689
2023-07-31,1.2734,0.35,1.2734
2023-08-01,1.2707,-0.21,1.2707
2023-08-02,1.2714,0.06,1.2714
2023-08-03,1.276,0.36,1.276
2023-08-04,1.2801,0.32,1.2801
2023-08-07,1.2778,-0.18,1.2778
2023-08-08,1.2734,-0.34,1.2734
2023-08-09,1.2666,-0.53,1.2666
2023-08-10,1.2672,0.05,1.2672
2023-08-11,1.2586,-0.68,1.2586
2023-08-14,1.2589,0.02,1.2589
2023-08-15,1.257,-0.15,1.257
2023-08-16,1.2526,-0.35,1.2526
2023-08-17,1.256,0.27,1.256
2023-08-18,1.2487,-0.58,1.2487
2023-08-21,1.244,-0.38,1.244
2023-08-22,1.2501,0.49,1.2501
2023-08-23,1.2413,-0.7,1.2413
2023-08-24,1.2402,-0.09,1.2402
2023-08-25,1.2325,-0.62,1.2325
2023-08-28,1.2354,0.24,1.2354
2023-08-29,1.2438,0.68,1.2438
2023-08-30,1.2489,0.41,1.2489
2023-08-31,1.2447,-0.34,1.2447
2023-09-01,1.244,-0.06,1.244
2023-09-04,1.2482,0.34,1.2482
2023-09-05,1.2426,-0.45,1.2426
2023-09-06,1.2442,0.13,1.2442
2023-09-07,1.2318,-1.0,1.2318
2023-09-08,1.2306,-0.1,1.2306
2023-09-11,1.2327,0.17,1.2327
2023-09-12,1.2313,-0.11,1.2313
2023-09-13,1.2249,-0.52,1.2249
2023-09-14,1.2215,-0.28,1.2215
2023-09-15,1.2216,0.01,1.2216
2023-09-18,1.2202,-0.11,1.2202
2023-09-19,1.2175,-0.22,1.2175
2023-09-20,1.2156,-0.16,1.2156
2023-09-21,1.2126,-0.25,1.2126
2023-09-22,1.2227,0.83,1.2227
2023-09-25,1.2208,-0.16,1.2208
2023-09-26,1.2229,0.17,1.2229
2023-09-27,1.2241,0.1,1.2241
2023-09-28,1.2289,0.39,1.2289
2023-10-09,1.2265,-0.2,1.2265
2023-10-10,1.224,-0.2,1.224
2023-10-11,1.2228,-0.1,1.2228
2023-10-12,1.2226,-0.02,1.2226
2023-10-13,1.2186,-0.33,1.2186
2023-10-16,1.2127,-0.48,1.2127
2023-10-17,1.2103,-0.2,1.2103
2023-10-18,1.2012,-0.75,1.2012
2023-10-19,1.1954,-0.48,1.1954
2023-10-20,1.1873,-0.68,1.1873
2023-10-23,1.1759,-0.96,1.1759
2023-10-24,1.1852,0.79,1.1852
2023-10-25,1.1888,0.3,1.1888
2023-10-26,1.1892,0.03,1.1892
2023-10-27,1.1943,0.43,1.1943
2023-10-30,1.1977,0.28,1.1977
2023-10-31,1.1927,-0.42,1.1927
2023-11-01,1.1887,-0.34,1.1887
2023-11-02,1.1841,-0.39,1.1841
2023-11-03,1.1935,0.79,1.1935
2023-11-06,1.2072,1.15,1.2072
2023-11-07,1.2126,0.45,1.2126
2023-11-08,1.2166,0.33,1.2166
2023-11-09,1.2114,-0.43,1.2114
2023-11-10,1.2093,-0.17,1.2093
2023-11-13,1.2119,0.22,1.2119
2023-11-14,1.2174,0.45,1.2174
2023-11-15,1.2178,0.03,1.2178
2023-11-16,1.2114,-0.53,1.2114
2023-11-17,1.2129,0.12,1.2129
2023-11-20,1.2183,0.45,1.2183
2023-11-21,1.2098,-0.7,1.2098
2023-11-22,1.2014,-0.69,1.2014
2023-11-23,1.204,0.22,1.204
2023-11-24,1.1941,-0.82,1.1941
