净值日期,单位净值,日增长率,累计净值
2023-06-05,2.78,-0.79,2.78
2023-06-06,2.754,-0.94,2.754
2023-06-07,2.74,-0.51,2.74
2023-06-08,2.753,0.47,2.753
2023-06-09,2.766,0.47,2.766
2023-06-12,2.791,0.9,2.791
2023-06-13,2.802,0.39,2.802
2023-06-14,2.808,0.21,2.808
2023-06-15,2.847,1.39,2.847
2023-06-16,2.867,0.7,2.867
2023-06-19,2.851,-0.56,2.851
2023-06-20,2.847,-0.14,2.847
2023-06-21,2.811,-1.26,2.811
2023-06-26,2.778,-1.17,2.778
2023-06-27,2.804,0.94,2.804
2023-06-28,2.805,0.04,2.805
2023-06-29,2.794,-0.39,2.794
2023-06-30,2.814,0.72,2.814
2023-07-03,2.851,1.31,2.851
2023-07-04,2.868,0.6,2.868
2023-07-05,2.838,-1.05,2.838
2023-07-06,2.816,-0.78,2.816
2023-07-07,2.801,-0.53,2.801
2023-07-10,2.805,0.14,2.805
2023-07-11,2.829,0.86,2.829
2023-07-12,2.81,-0.67,2.81
2023-07-13,2.84,1.07,2.84
2023-07-14,2.824,-0.56,2.824
2023-07-17,2.803,-0.74,2.803
2023-07-18,2.807,0.14,2.807
2023-07-19,2.79,-0.61,2.79
2023-07-20,2.773,-0.61,2.773
2023-07-21,2.773,0.0,2.773
2023-07-24,2.764,-0.32,2.764
2023-07-25,2.85,3.11,2.85
2023-07-26,2.845,-0.18,2.845
2023-07-27,2.838,-0.25,2.838
2023-07-28,2.874,1.27,2.874
2023-07-31,2.873,-0.03,2.873
2023-08-01,2.866,-0.24,2.866
2023-08-02,2.855,-0.38,2.855
2023-08-03,2.869,0.49,2.869
2023-08-04,2.882,0.45,2.882
2023-08-07,2.857,-0.87,2.857
2023-08-08,2.85,-0.25,2.85
2023-08-09,2.845,-0.18,2.845
2023-08-10,2.849,0.14,2.849
2023-08-11,2.801,-1.68,2.801
2023-08-14,2.79,-0.39,2.79
2023-08-15,2.778,-0.43,2.778
2023-08-16,2.76,-0.65,2.76
2023-08-17,2.788,1.01,2.788
2023-08-18,2.761,-0.97,2.761
2023-08-21,2.724,-1.34,2.724
2023-08-22,2.741,0.62,2.741
2023-08-23,2.698,-1.57,2.698
2023-08-24,2.716,0.67,2.716
2023-08-25,2.709,-0.26,2.709
2023-08-28,2.734,0.92,2.734
2023-08-29,2.766,1.17,2.766
2023-08-30,2.77,0.14,2.77
2023-08-31,2.751,-0.69,2.751
2023-09-01,2.775,0.87,2.775
2023-09-04,2.804,1.05,2.804
2023-09-05,2.786,-0.64,2.786
2023-09-06,2.786,0.0,2.786
2023-09-07,2.755,-1.11,2.755
2023-09-08,2.745,-0.36,2.745
2023-09-11,2.751,0.22,2.751
2023-09-12,2.743,-0.29,2.743
2023-09-13,2.727,-0.58,2.727
2023-09-14,2.723,-0.15,2.723
2023-09-15,2.708,-0.55,2.708
2023-09-18,2.711,0.11,2.711
2023-09-19,2.698,-0.48,2.698
2023-09-20,2.687,-0.41,2.687
2023-09-21,2.665,-0.82,2.665
2023-09-22,2.697,1.2,2.697
2023-09-25,2.68,-0.63,2.68
2023-09-26,2.665,-0.56,2.665
2023-09-27,2.668,0.11,2.668
2023-09-28,2.664,-0.15,2.664
2023-10-09,2.661,-0.11,2.661
2023-10-10,2.638,-0.86,2.638
2023-10-11,2.63,-0.3,2.63
2023-10-12,2.642,0.46,2.642
2023-10-13,2.626,-0.61,2.626
2023-10-16,2.603,-0.88,2.603
2023-10-17,2.609,0.23,2.609
2023-10-18,2.592,-0.65,2.592
2023-10-19,2.551,-1.58,2.551
2023-10-20,2.529,-0.86,2.529
2023-10-23,2.508,-0.83,2.508
2023-10-24,2.515,0.28,2.515
2023-10-25,2.536,0.83,2.536
2023-10-26,2.545,0.35,2.545
2023-10-27,2.576,1.22,2.576
2023-10-30,2.588,0.47,2.588
2023-10-31,2.586,-0.08,2.586
2023-11-01,2.572,-0.54,2.572
2023-11-02,2.557,-0.58,2.557
2023-11-03,2.57,0.51,2.57
2023-11-06,2.594,0.93,2.594
2023-11-07,2.58,-0.54,2.58
2023-11-08,2.573,-0.27,2.573
2023-11-09,2.575,0.08,2.575
2023-11-10,2.564,-0.43,2.564
2023-11-13,2.568,0.16,2.568
2023-11-14,2.563,-0.19,2.563
2023-11-15,2.575,0.47,2.575
2023-11-16,2.556,-0.74,2.556
2023-11-17,2.561,0.2,2.561
2023-11-20,2.573,0.47,2.573
2023-11-21,2.577,0.16,2.577
2023-11-22,2.558,-0.74,2.558
2023-11-23,2.575,0.66,2.575
2023-11-24,2.561,-0.54,2.561
2023-11-27,2.546,-0.59,2.546
2023-11-28,2.552,0.24,2.552
2023-11-29,2.535,-0.67,2.535
2023-11-30,2.538,0.12,2.538
2023-12-01,2.532,-0.24,2.532
2023-12-04,2.514,-0.71,2.514
2023-12-05,2.466,-1.91,2.466
2023-12-06,2.468,0.08,2.468
2023-12-07,2.456,-0.49,2.456
2023-12-08,2.444,-0.49,2.444
2023-12-11,2.463,0.78,2.463
2023-12-12,2.478,0.61,2.478
2023-12-13,2.439,-1.57,2.439
2023-12-14,2.427,-0.49,2.427
2023-12-15,2.419,-0.33,2.419
2023-12-18,2.403,-0.66,2.403
2023-12-19,2.402,-0.04,2.402
2023-12-20,2.381,-0.87,2.381
2023-12-21,2.402,0.88,2.402
2023-12-22,2.416,0.58,2.416
2023-12-25,2.431,0.62,2.431
2023-12-26,2.416,-0.62,2.416
2023-12-27,2.422,0.25,2.422
2023-12-28,2.472,2.06,2.472
2023-12-29,2.489,0.69,2.489
2023-12-31,2.489,0.0,2.489
2024-01-02,2.463,-1.04,2.463
2024-01-03,2.452,-0.45,2.452
2024-01-04,2.434,-0.73,2.434
2024-01-05,2.416,-0.74,2.416
2024-01-08,2.386,-1.24,2.386
2024-01-09,2.38,-0.25,2.38
2024-01-10,2.368,-0.5,2.368
2024-01-11,2.376,0.34,2.376
2024-01-12,2.376,0.0,2.376
2024-01-15,2.376,0.0,2.376
2024-01-16,2.389,0.55,2.389
2024-01-17,2.341,-2.01,2.341
2024-01-18,2.365,1.03,2.365
2024-01-19,2.357,-0.34,2.357
