净值日期,单位净值,日增长率,累计净值
2023-06-05,2.444,-1.37,2.444
2023-06-06,2.432,-0.49,2.432
2023-06-07,2.404,-1.15,2.404
2023-06-08,2.418,0.58,2.418
2023-06-09,2.421,0.12,2.421
2023-06-12,2.421,0.0,2.421
2023-06-13,2.431,0.41,2.431
2023-06-14,2.431,0.0,2.431
2023-06-15,2.489,2.39,2.489
2023-06-16,2.504,0.6,2.504
2023-06-19,2.476,-1.12,2.476
2023-06-20,2.479,0.12,2.479
2023-06-21,2.448,-1.25,2.448
2023-06-26,2.434,-0.57,2.434
2023-06-27,2.446,0.49,2.446
2023-06-28,2.463,0.7,2.463
2023-06-29,2.451,-0.49,2.451
2023-06-30,2.472,0.86,2.472
2023-07-03,2.501,1.17,2.501
2023-07-04,2.498,-0.12,2.498
2023-07-05,2.474,-0.96,2.474
2023-07-06,2.457,-0.69,2.457
2023-07-07,2.441,-0.65,2.441
2023-07-10,2.456,0.61,2.456
2023-07-11,2.469,0.53,2.469
2023-07-12,2.46,-0.36,2.46
2023-07-13,2.484,0.98,2.484
2023-07-14,2.464,-0.81,2.464
2023-07-17,2.445,-0.77,2.445
2023-07-18,2.443,-0.08,2.443
2023-07-19,2.429,-0.57,2.429
2023-07-20,2.423,-0.25,2.423
2023-07-21,2.424,0.04,2.424
2023-07-24,2.41,-0.58,2.41
2023-07-25,2.478,2.82,2.478
2023-07-26,2.473,-0.2,2.473
2023-07-27,2.469,-0.16,2.469
2023-07-28,2.513,1.78,2.513
2023-07-31,2.536,0.92,2.536
2023-08-01,2.52,-0.63,2.52
2023-08-02,2.507,-0.52,2.507
2023-08-03,2.518,0.44,2.518
2023-08-04,2.532,0.56,2.532
2023-08-07,2.517,-0.59,2.517
2023-08-08,2.512,-0.2,2.512
2023-08-09,2.508,-0.16,2.508
2023-08-10,2.512,0.16,2.512
2023-08-11,2.471,-1.63,2.471
2023-08-14,2.447,-0.97,2.447
2023-08-15,2.44,-0.29,2.44
2023-08-16,2.433,-0.29,2.433
2023-08-17,2.445,0.49,2.445
2023-08-18,2.432,-0.53,2.432
2023-08-21,2.399,-1.36,2.399
2023-08-22,2.406,0.29,2.406
2023-08-23,2.371,-1.45,2.371
2023-08-24,2.383,0.51,2.383
2023-08-25,2.376,-0.29,2.376
2023-08-28,2.402,1.09,2.402
2023-08-29,2.437,1.46,2.437
